stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
8d6c0594-813e-4a74-a649-f5cac546e2c8,1205,Tall Oaks/Hethwood Ebnd,229,37.21447,-80.45221,0
2c3d4ac0-846c-4923-994c-552ecf01ad9e,1206,Tall Oaks/Foxhunt Ebnd,230,37.21576,-80.45046,0
20fa61c3-1851-4b2a-988d-9169458d6887,1204,Hethwood Square on Hethwood,228,37.21675,-80.45329,0
7656d2ed-e7c9-49b2-aa27-121fe0979d51,1207,Tall Oaks/Heather Ebnd,231,37.21719,-80.44864,0
95999c9a-0beb-43ae-9469-afcd932c9fd3,1107,Hutcheson Hall,707,37.22598,-80.42287,0
b0a8fa96-a5b9-4cc3-bcc2-081fb903e0f2,1108,War Memorial Hall,708,37.22667,-80.42157,0
89a3b706-5458-449e-a8c6-550dbe1b3225,1336,University Mall Main Entrance,501,37.23429,-80.43418,0
5a346824-737d-405b-aaa4-7163659b686b,1335,Old Glade/Glade Nbnd,500,37.2345,-80.43553,0
afc1be23-f67d-4ddd-80c7-4a627257af14,1323,Patrick Henry/Toms Creek Ebnd,407,37.24405,-80.42759,0
cf55fc8c-4ba7-42d8-b8af-f0c38143f26d,1322,University City/Toms Creek Ebnd,406,37.243,-80.42957,0
223f7e17-9eec-412c-8fd6-54eb379aa27c,1319,Shawnee on University City Nbnd,403,37.2414,-80.43498,0
9aca2abd-fdd6-4405-ba28-57ee9993e22d,1320,Shawnee on University City Ebnd,404,37.24234,-80.43291,0
987199ec-f644-4ca2-958b-78cbe60bb126,1316,University Mall Nbnd,400,37.2346,-80.43336,0
84182224-5ef2-4a3a-b8b1-090bffce46f5,1318,University City/Broce Nbnd,402,37.23792,-80.43517,0
9db9ff19-278f-43d2-8ca7-1826ae9a6b0b,1317,University City/Glade Nbnd,401,37.23627,-80.43433,0
2f05cd44-654b-4288-9bd7-97cff0a4fd55,1321,University City/Falcon Ebnd,405,37.24274,-80.43064,0
3be6f418-af13-4c20-a212-707e3c681fb0,1325,Patrick Henry/Progress Ebnd,409,37.24579,-80.42284,0
b2720f31-9595-4d09-a135-b5036e4fa8a3,1324,The Village on Patrick Henry Ebnd,408,37.24511,-80.42473,0
dcbc8d3c-1960-417c-aca0-e64c2551a94d,1109,Eggleston Hall/Kent St,709,37.22803,-80.41969,0
371386c2-ce1a-4827-a958-a1036a0bfd92,1126,Harper Hall,732,37.22235,-80.42348,0
a4cefc30-0cda-4a2a-ad0e-ce535e86927a,2205,Post Office on Arbor,,37.16759,-80.4175,0
ebc3c90e-717d-4cfc-915f-a935b6c199ca,2204,DMV on Arbor,,37.1653,-80.41796,0
4a646ff8-0243-4c14-8ebb-b3640870bc65,2203,Laurel/Peppers Ferry,,37.1641,-80.41985,0
c6617753-8302-48ef-ab16-2f596243e7d2,2206,Arbor/Market,,37.1688,-80.4196,0
bcb8482b-8d93-44c4-a963-31351cfc97f3,2202,Laurel/Sycamore,,37.16236,-80.42093,0
850b1921-46d8-431e-bad6-8b09cc7f010b,1802,Wal Mart,601,37.16157,-80.42596,0
71392c5c-8916-468d-8271-ac2d28d69b2b,1800,New River Valley Mall,611,37.1661,-80.42853,0
da296832-e72b-4489-acc2-1a12075a27eb,1801,NRV Theatre,616,37.1642,-80.4291,0
08e66b34-64bc-4fe7-8cd2-2f96a94eac1c,2209,Shoppers Way,,37.16668,-80.42521,0
33101755-9fa5-4edc-b593-4c8b91f40785,1803,Montgomery Regional Hospital,802,37.18725,-80.40983,0
f190a328-e791-4fc8-bc58-839440bd82e1,1631,Grissom/Nellies Cave Sbnd,162,37.21242,-80.39342,0
cbf5b81d-bfe5-42fd-a2e7-ed531c838a1c,1630,Marlington/Emerald Ebnd,161,37.2124,-80.39629,0
8c43199c-f00a-440d-9c80-e8f5afe1e4bf,1632,New Kent/Sussex Wbnd,163,37.21144,-80.39375,0
5bcc56fe-7974-493e-9dcd-6ac545a6fa7e,1634,Fairfax/Ellett Wbnd,165,37.20869,-80.39674,0
c34012ef-6c62-4e21-b28f-22d999bf8b3d,1633,New Kent/Loudon Wbnd,164,37.20974,-80.3957,0
